title|image|price|description|ad_url|mobile
MacBook Pro 13 inch|https://ca.classistatic.com/static/V/9399/img/placeholder-large.png|$950.00|Selling my MacBook Pro, in perfect condition just upgraded. Specs are in photos. Also comes with keyboard covers and a carrying case. Asking $950 obo|https://www.kijiji.ca/v-laptops/medicine-hat/macbook-pro-13-inch/1510141254|
MacBook Pro - Intel Core i7|https://i.ebayimg.com/images/g/W~QAAOSwk-Re~jJx/s-l200.jpg|$1,500.00|Perfect condition - Mid 2015 - 250 GB - 2.2 GHz Intel Core i7 - 16GB ram .|https://www.kijiji.ca/v-laptops/medicine-hat/macbook-pro-intel-core-i7/1509894737|
